,station,timestamp,lat,lon,2mt,wind_speed,in_situ_precip,mean_bins,temp_700,vel_700,temp_750,vel_750,temp_775,vel_775,temp_800,vel_800,temp_825,vel_825,temp_850,vel_850,temp_875,vel_875,temp_900,vel_900,temp_925,vel_925,temp_950,vel_950,temp_975,vel_975,temp_1000,vel_1000,bin_1,spec_1,dopp_1,bin_2,spec_2,dopp_2,bin_3,spec_3,dopp_3,bin_4,spec_4,dopp_4,bin_5,spec_5,dopp_5,bin_6,spec_6,dopp_6,bin_7,spec_7,dopp_7,bin_8,spec_8,dopp_8,bin_9,spec_9,dopp_9,bin_10,spec_10,dopp_10,bin_11,spec_11,dopp_11,bin_12,spec_12,dopp_12,bin_13,spec_13,dopp_13,bin_14,spec_14,dopp_14,bin_15,spec_15,dopp_15,bin_16,spec_16,dopp_16,bin_17,spec_17,dopp_17,bin_18,spec_18,dopp_18,bin_19,spec_19,dopp_19,bin_20,spec_20,dopp_20,bin_21,spec_21,dopp_21,bin_22,spec_22,dopp_22,bin_23,spec_23,dopp_23,bin_24,spec_24,dopp_24,bin_25,spec_25,dopp_25,bin_26,spec_26,dopp_26,bin_27,spec_27,dopp_27,bin_28,spec_28,dopp_28,bin_29,spec_29,dopp_29,bin_30,spec_30,dopp_30,bin_31,spec_31,dopp_31,group_0,group_1,group_2,group_3
0,CYOD,1386910140,54.401269,-110.266281,-25.6,15,0.08,-13.839754,257.95,-0.236046344,257.24588,-0.158657962,255.7663,-0.105712926,254.23404,-0.081875998,252.72224,-0.077304533,251.31271,-0.06643564,249.87901,-0.045444216,247.11636,-0.00304154,248.18126,0.007220934,249.96642,-0.015589747,251.04556,-0.017362356,252.27843,-0.015216566,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.475341,0.14411402,0.54644555,-13.488236,0.17377569,0.65424466,-14.414957,0.14874579,0.9440251,-13.980481,0.14253542,1.121169,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,-13.8397541,0.152292728,0.81647104,1,0,0,0
1,CYOD,1386911160,54.401269,-110.266281,-25.6,15,0.05,-3.6085477,257.46838,-0.239031791,256.4531,-0.176337405,255.05782,-0.133374958,253.67245,-0.110191096,252.28462,-0.094750738,250.96745,-0.069794268,249.57219,-0.035694866,246.87524,0.014497961,247.98291,0.017949884,249.81888,-0.008639253,250.87015,-0.013677195,252.09682,-0.011764643,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-5.5132475,0.28774345,0.31251043,0.795867,0.2980343,0.24347015,0.8392911,0.25514162,0.3039702,-2.0740929,0.26575458,0.32771143,-12.090555,0.13977312,0.52564985,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,-3.608547688,0.249289423,0.342662394,1,0,0,0
2,CYOD,1386911280,54.401269,-110.266281,-25.6,15,0.08,-4.0278788,257.46838,-0.239031791,256.4531,-0.176337405,255.05782,-0.133374958,253.67245,-0.110191096,252.28462,-0.094750738,250.96745,-0.069794268,249.57219,-0.035694866,246.87524,0.014497961,247.98291,0.017949884,249.81888,-0.008639253,250.87015,-0.013677195,252.09682,-0.011764643,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-1.1379256,0.36902353,0.26438972,1.7137094,0.3197753,0.29471105,-0.000867688,0.2813572,0.36898032,-4.6951127,0.26528704,0.4254592,-16.019196,0.13954693,0.5637301,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,-4.027878761,0.274998009,0.383454084,1,0,0,0
3,CYOD,1386912000,54.401269,-110.266281,-25.6,15,0.14,-11.314883,257.46838,-0.239031791,256.4531,-0.176337405,255.05782,-0.133374958,253.67245,-0.110191096,252.28462,-0.094750738,250.96745,-0.069794268,249.57219,-0.035694866,246.87524,0.014497961,247.98291,0.017949884,249.81888,-0.008639253,250.87015,-0.013677195,252.09682,-0.011764643,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-10.681185,0.18715793,1.8069898,-9.626561,0.2623713,1.785085,-13.636901,0.1507906,1.706352,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,-11.31488323,0.200106621,1.766142249,1,0,0,0
4,CYOD,1386912060,54.401269,-110.266281,-25.6,15,0.03,-10.57532,257.46838,-0.239031791,256.4531,-0.176337405,255.05782,-0.133374958,253.67245,-0.110191096,252.28462,-0.094750738,250.96745,-0.069794268,249.57219,-0.035694866,246.87524,0.014497961,247.98291,0.017949884,249.81888,-0.008639253,250.87015,-0.013677195,252.09682,-0.011764643,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.418116,0.17924489,1.9467185,-9.240869,0.20054018,1.8856357,-12.066978,0.21033756,1.9065213,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,-10.57532024,0.196707547,1.912958503,1,0,0,0
5,CYOD,1386913440,54.401269,-110.266281,-25.7,15,0.03,-12.431176,257.46838,-0.239031791,256.4531,-0.176337405,255.05782,-0.133374958,253.67245,-0.110191096,252.28462,-0.094750738,250.96745,-0.069794268,249.57219,-0.035694866,246.87524,0.014497961,247.98291,0.017949884,249.81888,-0.008639253,250.87015,-0.013677195,252.09682,-0.011764643,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.712234,0.13145013,0.5006284,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-15.741812,0.14228567,1.5516195,-10.140475,0.20580086,1.5856074,-11.130185,0.2085986,1.6432792,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,-12.43117619,0.172033817,1.320283651,1,0,0,0
6,CYOD,1386914400,54.401269,-110.266281,-25.7,15,0.01,-3.7433333,257.03326,-0.104779974,255.8413,-0.036161342,254.6171,0.003069297,253.34828,0.016830341,252.02739,0.024014073,250.78647,0.038334889,249.39058,0.051302924,246.77979,0.076445985,247.81306,0.04122704,249.61496,-0.014097023,250.68047,-0.021653936,251.90652,-0.018995022,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-7.556273,0.23003954,0.51594764,-0.38395548,0.29802117,0.46412823,3.0381918,0.3048118,0.5397745,2.4787714,0.31129113,0.6379284,-2.3961008,0.29105228,0.8336398,-9.10502,0.28552377,1.2719126,-12.278948,0.23435926,1.5364946,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,-3.74333334,0.279299825,0.828546524,1,0,0,0
7,CYOD,1386915120,54.401269,-110.266281,-25.7,15,0.13,-3.1987052,257.03326,-0.104779974,255.8413,-0.036161342,254.6171,0.003069297,253.34828,0.016830341,252.02739,0.024014073,250.78647,0.038334889,249.39058,0.051302924,246.77979,0.076445985,247.81306,0.04122704,249.61496,-0.014097023,250.68047,-0.021653936,251.90652,-0.018995022,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-2.0445693,0.3230651,0.2616833,3.116094,0.30048314,0.24804696,2.9691124,0.2930646,0.39622465,0.68106115,0.30707753,0.4753164,-3.3182209,0.2670646,0.435452,-6.979321,0.2252094,0.51346356,-9.143884,0.35622498,0.9050812,-10.869916,0.2051197,1.4929359,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,-3.198705196,0.284663618,0.591025472,1,0,0,0
8,CYOD,1386915180,54.401269,-110.266281,-25.7,15,0.02,-3.7744703,257.03326,-0.104779974,255.8413,-0.036161342,254.6171,0.003069297,253.34828,0.016830341,252.02739,0.024014073,250.78647,0.038334889,249.39058,0.051302924,246.77979,0.076445985,247.81306,0.04122704,249.61496,-0.014097023,250.68047,-0.021653936,251.90652,-0.018995022,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-1.2659106,0.34872353,0.24204376,2.6184926,0.2946518,0.23403057,2.4008086,0.277742,0.35070968,0.13346477,0.29278913,0.39539775,-3.705887,0.24390112,0.38378283,-7.3850536,0.20674685,0.47114488,-12.396503,0.19452213,1.2586195,-10.595174,0.20998439,1.3850423,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,-3.774470329,0.2586326,0.590096414,1,0,0,0
9,CYOD,1386916140,54.401269,-110.266281,-25.7,15,0.07,-9.439721,257.03326,-0.104779974,255.8413,-0.036161342,254.6171,0.003069297,253.34828,0.016830341,252.02739,0.024014073,250.78647,0.038334889,249.39058,0.051302924,246.77979,0.076445985,247.81306,0.04122704,249.61496,-0.014097023,250.68047,-0.021653936,251.90652,-0.018995022,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-11.267245,0.16065933,0.55205834,-5.262747,0.23244591,0.20530804,-5.8174834,0.2994506,0.2854605,-8.111204,0.22797513,0.48672602,-11.079069,0.1370415,0.50504285,-11.73579,0.14513098,0.5583275,-12.804514,0.18649335,0.6503488,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,-9.439721107,0.19845669,0.463324547,0,0,1,0
